y;x;editions;leftlambert;toplambert;rightlambert;lambert;west;north;east;south
44;39;1963;607800;128624;608400;128224;2.44280794;48.85802331;2.45097680;48.85441837
44;40;1964;608400;128624;609000;128224;2.45098503;48.85801546;2.45915330;48.85440994
45;39;1963;607800;128224;608400;127824;2.44280030;48.85442623;2.45096857;48.85082129
45;41;2002;609000;128224;609600;127824;2.45915330;48.85440994;2.46732039;48.85080383
45;42;2002;609600;128224;610200;127824;2.46732980;48.85440091;2.47549629;48.85079422
46;24;1857 1898 1953-v1 1953-v2 1953-HD;598800;127824;599400;127424;2.32015380;48.85087667;2.32833037;48.84728052
46;25;1857 1898 1993 1993-HD;599400;127824;600000;127424;2.32832973;48.85087760;2.33650571;48.84728086
46;26;1857 1897 1953 2002-v1 2002-v3 2002-HD;600000;127824;600600;127424;2.33650565;48.85087795;2.34468104;48.84728062
46;41;2003;609000;127824;609600;127424;2.45914448;48.85081285;2.46731098;48.84720675
46;42;2003;609600;127824;610200;127424;2.46732039;48.85080383;2.47548629;48.84719714
47;10;1972;590400;127424;591000;127024;2.20570044;48.84720510;2.21388468;48.84361715
47;11;1973-v1 1973-v2;591000;127424;591600;127024;2.21387575;48.84721423;2.22205940;48.84362569
47;23;1857 1955 1955-HD;598200;127424;598800;127024;2.31197970;48.84727807;2.32015627;48.84368250
47;24;1858 1955-v2 2004 1955-HD;598800;127424;599400;127024;2.32015503;48.84727959;2.32833101;48.84368343
47;25;1898 1986-v1 1986-v2 1986-HD;599400;127424;600000;127024;2.32833037;48.84728052;2.33650576;48.84368377
47;26;1857 1956-v2 1981-v1 1981-v2 1981-HD;600000;127424;600600;127024;2.33650571;48.84728086;2.34468050;48.84368353
47;27;1857 1900 1955-v1 1955-v2 1955-HD;600600;127424;601200;127024;2.34468104;48.84728062;2.35285525;48.84368270
47;28;1855 1955-v1 1955-v2 1955-HD;601200;127424;601800;127024;2.35285638;48.84727979;2.36103000;48.84368129
48;10;1972;590400;127024;591000;126624;2.20570995;48.84360802;2.21389360;48.84002006
48;11;1973-v1 1973-v2;591000;127024;591600;126624;2.21388468;48.84361715;2.22206773;48.84002860
48;22;1858 1948 1996 1948-HD;597600;127024;598200;126624;2.30380678;48.84367888;2.31198335;48.84008390
48;23;1858 1979-v1 1979-v2 1979-HD;598200;127024;598800;126624;2.31198152;48.84368098;2.32015750;48.84008541
48;24;1859 1978-v1 1978-v2 1978-HD;598800;127024;599400;126624;2.32015627;48.84368250;2.32833166;48.84008634
48;25;1859 1955 1973 1990-v1 1990-v2 1990-HD;599400;127024;600000;126624;2.32833101;48.84368343;2.33650581;48.84008668
48;26;1859 1955 1970-v2 1990-v1 1990-v2 1990-HD;600000;127024;600600;126624;2.33650576;48.84368377;2.34467997;48.84008644
48;27;1859 1953 1984-v1 1984-v2 1984-HD;600600;127024;601200;126624;2.34468050;48.84368353;2.35285412;48.84008562
48;28;1857 1956-v1 1956-v2 1956-HD;601200;127024;601800;126624;2.35285525;48.84368270;2.36102827;48.84008420
48;32;1957 1957-HD;603600;127024;604200;126624;2.38555423;48.84367354;2.39372489;48.84007270
48;33;1966 1966-HD;604200;127024;604800;126624;2.39372897;48.84366979;2.40189903;48.84006836
48;34;1958 1981 1981-HD;604800;127024;605400;126624;2.40190371;48.84366545;2.41007318;48.84006344
49;10;1975-v1 1975-v2;590400;126624;591000;126224;2.20571946;48.84001094;2.21390251;48.83642298
49;11;1973;591000;126624;591600;126224;2.21389360;48.84002006;2.22207606;48.83643152
49;21;1956 1989-v1 1989-v2 1989-HD;597000;126624;597600;126224;2.29563504;48.84007911;2.30381161;48.83648471
49;22;1979 1999-HD;597600;126624;598200;126224;2.30380919;48.84008180;2.31198517;48.83648681
49;23;1955 1975 1975-HD;598200;126624;598800;126224;2.31198335;48.84008390;2.32015873;48.83648832
49;24;1859 1899 1946 1987 1987-HD;598800;126624;599400;126224;2.32015750;48.84008541;2.32833230;48.83648925
49;25;1859 1899 1980 1980-HD;599400;126624;600000;126224;2.32833166;48.84008634;2.33650586;48.83648960
49;26;1859 1956-v2 1979-v1 1979-v2 1979-HD;600000;126624;600600;126224;2.33650581;48.84008668;2.34467943;48.83648935
49;27;1859 1966 1966-HD;600600;126624;601200;126224;2.34467997;48.84008644;2.35285299;48.83648853
49;28;1857 1938-v1 1938-v2 1965 1965-HD;601200;126624;601800;126224;2.35285412;48.84008562;2.36102655;48.83648712
49;29;1857 1900 2002 2002-HD;601800;126624;602400;126224;2.36102827;48.84008420;2.36920012;48.83648512
49;32;1958 2001 2001-HD;603600;126624;604200;126224;2.38555073;48.84007645;2.39372080;48.83647562
49;33;1857 1966 1966-HD;604200;126624;604800;126224;2.39372489;48.84007270;2.40189436;48.83647128
49;34;1958 1984 1981-HD 1984-HD;604800;126624;605400;126224;2.40189903;48.84006836;2.41006791;48.83646635
49;35;1958 1984 1984-HD;605400;126624;606000;126224;2.41007318;48.84006344;2.41824147;48.83646084
50;20;1956 1957-HD;596400;126224;597000;125824;2.28746449;48.83647875;2.29564105;48.83288494
50;21;1935 1956 1988 1988-HD;597000;126224;597600;125824;2.29563805;48.83648202;2.30381402;48.83288762
50;22;1899 1995 1970-HD;597600;126224;598200;125824;2.30381161;48.83648471;2.31198700;48.83288972
50;23;1895 1932 1992 1992-HD;598200;126224;598800;125824;2.31198517;48.83648681;2.32015997;48.83289124
50;24;1859 1894 1965 1988-v1 1988-v2 1988-HD;598800;126224;599400;125824;2.32015873;48.83648832;2.32833294;48.83289216
50;25;1859 1975 1985-v1 1985-v2 1985-HD 1896;599400;126224;600000;125824;2.3273969;48.83721150;2.3374778;48.83217590
